RegionName,StateName,City,Metro,CountyName,HomeValue,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
28734,NC,Franklin,,Macon County,196287.0,28734,27887.0,48.4,43254.0,24357.0,4439.0,15.917811166493347
77351,TX,West Livingston,,Polk County,142484.0,77351,34366.0,43.7,50318.0,24865.0,5496.0,15.992550776930685
39452,MS,Lucedale,,George County,139322.0,39452,27517.0,36.9,50714.0,24305.0,4542.0,16.506159828469677
38583,TN,Sparta,,White County,147829.0,38583,24459.0,42.6,43209.0,21703.0,3503.0,14.321926489226868
30533,GA,Dahlonega,,Lumpkin County,229764.0,30533,27113.0,37.4,52280.0,27568.0,3886.0,14.332607974034595
28328,NC,Clinton,,Sampson County,125475.0,28328,27372.0,39.3,37234.0,21975.0,6186.0,22.5997369574748
28906,NC,Murphy,,Cherokee County,174893.0,28906,19701.0,53.1,43825.0,25400.0,2944.0,14.943403888127506
45133,OH,Hillsboro,,Highland County,128069.0,45133,24024.0,41.3,40791.0,24053.0,5046.0,21.003996003996004
30528,GA,Cleveland,,White County,197761.0,30528,25280.0,43.3,51559.0,26735.0,2873.0,11.364715189873413
37334,TN,Fayetteville,,Lincoln County,143384.0,37334,22909.0,41.5,49133.0,27200.0,2935.0,12.811558776026889
31024,GA,Eatonton,,Putnam County,242456.0,31024,20626.0,45.8,51319.0,30146.0,3418.0,16.5713177542907
30512,GA,Blairsville,,Union County,237136.0,30512,21541.0,54.5,51406.0,29721.0,2858.0,13.267722018476396
39350,MS,Philadelphia,,Neshoba County,108098.0,39350,24899.0,35.7,37520.0,18907.0,6665.0,26.76814329892767
54501,WI,Rhinelander,,Oneida County,154482.0,54501,19960.0,46.2,54904.0,31791.0,1752.0,8.77755511022044
29488,SC,Walterboro,,Colleton County,124164.0,29488,21326.0,40.6,36007.0,19918.0,4252.0,19.938103723154835
41501,KY,Pikeville,,Pike County,74680.0,41501,22090.0,38.0,35442.0,27072.0,5636.0,25.513807152557717
22485,VA,King George,,King George County,322426.0,22485,25606.0,38.0,95033.0,39069.0,1306.0,5.100367101460595
54235,WI,Sturgeon Bay,,Door County,202977.0,54235,16840.0,49.4,59772.0,38043.0,1330.0,7.897862232779097
30540,GA,Ellijay,,Gilmer County,208219.0,30540,19634.0,45.8,50750.0,25942.0,3659.0,18.63603952327595
40351,KY,Morehead,,Rowan County,127128.0,40351,21354.0,30.9,40231.0,21262.0,4543.0,21.27470263182542
78654,TX,Marble Falls,,Burnet County,298202.0,78654,18250.0,44.9,54034.0,29868.0,2076.0,11.375342465753427
49770,MI,Petoskey,,Emmet County,274864.0,49770,17045.0,42.9,57714.0,35893.0,1356.0,7.955412144323849
42025,KY,Benton,,Marshall County,144594.0,42025,19468.0,43.3,55052.0,29913.0,1988.0,10.211629340456133
98368,WA,Port Townsend,,Jefferson County,445685.0,98368,15868.0,57.4,54436.0,36881.0,1999.0,12.597680867154018
42633,KY,Monticello,,Wayne County,85132.0,42633,19613.0,41.7,34502.0,25260.0,4838.0,24.667312496813334
49735,MI,Gaylord,,Otsego County,158540.0,49735,19744.0,44.7,54607.0,27702.0,2736.0,13.857374392220422
40330,KY,Harrodsburg,,Mercer County,141164.0,40330,19892.0,43.4,52336.0,26713.0,3038.0,15.272471345264428
28472,NC,Whiteville,,Columbus County,106221.0,28472,18522.0,40.3,36669.0,21722.0,4272.0,23.06446388079041
70586,LA,Ville Platte,,Evangeline Parish,92351.0,70586,19680.0,36.8,31898.0,19650.0,5141.0,26.1229674796748
56501,MN,Detroit Lakes,,Becker County,270559.0,56501,17425.0,42.7,60833.0,35279.0,1767.0,10.140602582496411
26201,WV,Buckhannon,,Upshur County,112642.0,26201,19919.0,41.0,43183.0,25341.0,3377.0,16.95366233244641
28714,NC,Burnsville,,Yancey County,199235.0,28714,16941.0,47.2,42672.0,24436.0,2763.0,16.309544891092614
48624,MI,Gladwin,,Gladwin County,125186.0,48624,15837.0,50.3,43913.0,24614.0,2781.0,17.560143966660352
24333,VA,Galax,,Grayson County,117443.0,24333,17768.0,45.4,39911.0,23648.0,3127.0,17.59905447996398
38351,TN,Lexington,,Henderson County,127830.0,38351,18459.0,41.5,43543.0,22130.0,3615.0,19.58394279213392
32060,FL,Live Oak,,Suwannee County,168449.0,32060,24064.0,42.2,49731.0,23541.0,3663.0,15.22190824468085
38478,TN,Pulaski,,Giles County,135218.0,38478,17602.0,42.8,48509.0,24713.0,2759.0,15.67435518691058
38372,TN,Savannah,,Hardin County,117386.0,38372,17266.0,43.9,41050.0,23253.0,3591.0,20.798100312753387
82414,WY,Cody,,Park County,326547.0,82414,15212.0,46.8,64366.0,35715.0,965.0,6.343676045227452
30643,GA,Hartwell,,Hart County,186279.0,30643,15166.0,45.3,40602.0,23506.0,1899.0,12.521429513385206
29102,SC,Manning,,Clarendon County,125256.0,29102,17552.0,43.9,41992.0,23376.0,4152.0,23.655423883318143
2554,MA,Nantucket,,Nantucket County,1769499.0,2554,10935.0,40.1,107683.0,55914.0,905.0,8.276177411979882
65020,MO,Camdenton,,Camden County,237244.0,65020,16229.0,49.0,54306.0,27478.0,2158.0,13.297184053238029
917,UT,San Juan,,Kane County,385007.0,917,18196.0,48.2,15220.0,14535.0,8950.0,49.186634425148384
38829,MS,Booneville,,Prentiss County,97952.0,38829,19023.0,38.7,37500.0,18646.0,4037.0,21.221679020133518
54981,WI,Waupaca,,Waupaca County,190037.0,54981,15209.0,47.9,62796.0,35507.0,1168.0,7.679663357222697
54656,WI,Sparta,,Monroe County,184341.0,54656,17670.0,41.7,59329.0,29141.0,2033.0,11.505376344086022
37354,TN,Madisonville,,Monroe County,162458.0,37354,17573.0,41.8,38802.0,24265.0,3593.0,20.446138963182158
40962,KY,Manchester,,Clay County,54871.0,40962,17444.0,39.6,26528.0,15068.0,6138.0,35.186883742260946
47960,IN,Monticello,,White County,160735.0,47960,14721.0,47.6,49552.0,28880.0,1394.0,9.469465389579511
24450,VA,Lexington,,Rockbridge County,238643.0,24450,17140.0,40.8,57654.0,28576.0,2704.0,15.775962660443403
42134,KY,Franklin,,Simpson County,136971.0,42134,17700.0,38.8,49359.0,24103.0,2733.0,15.440677966101697
5301,VT,Brattleboro,,Windham County,237929.0,5301,16200.0,45.6,44437.0,31790.0,2694.0,16.62962962962963
75951,TX,Jasper,,Jasper County,98805.0,75951,15859.0,38.2,40069.0,25984.0,3261.0,20.56245664922126
38652,MS,New Albany,,Union County,126167.0,38652,16775.0,39.3,49474.0,23862.0,2144.0,12.78092399403875
59840,MT,Hamilton,,Ravalli County,345196.0,59840,13649.0,50.2,44283.0,27809.0,2200.0,16.11839695215767
18436,PA,Lake Township,,Wayne County,186173.0,18436,12610.0,49.5,63047.0,29364.0,917.0,7.2720063441712925
54868,WI,Rice Lake,,Barron County,179667.0,54868,15247.0,43.6,52132.0,32491.0,1705.0,11.182527710369254
74344,OK,Grove,,Delaware County,175812.0,74344,15437.0,51.9,43347.0,28681.0,2398.0,15.53410636781758
63775,MO,Perryville,,Perry County,157180.0,63775,17012.0,40.1,55438.0,26487.0,1145.0,6.730543146014577
29536,SC,Dillon,,Dillon County,99069.0,29536,16822.0,36.7,30857.0,17084.0,5639.0,33.52157888479372
39429,MS,Columbia,,Marion County,102094.0,39429,16454.0,40.5,33436.0,18538.0,3763.0,22.869818889023943
30642,GA,Greensboro,,Greene County,450915.0,30642,12392.0,51.6,58504.0,44481.0,2300.0,18.56036152356359
81101,CO,Alamosa,,Alamosa County,194887.0,81101,15153.0,31.2,37130.0,21907.0,3419.0,22.56318880749686
71953,AR,Mena,,Polk County,108693.0,71953,13996.0,44.9,38874.0,24680.0,3114.0,22.249214061160327
48625,MI,Harrison,,Clare County,69195.0,48625,13104.0,50.4,34776.0,20643.0,3309.0,25.251831501831504
42728,KY,Columbia,,Adair County,104303.0,42728,16656.0,40.9,38395.0,20360.0,3136.0,18.828049951969263
49721,MI,Cheboygan,,Cheboygan County,141559.0,49721,14164.0,51.2,44337.0,25298.0,1954.0,13.795537983620449
30635,GA,Elberton,,Elbert County,95558.0,30635,14996.0,43.2,38864.0,23402.0,3123.0,20.825553480928246
54660,WI,Tomah,,Monroe County,175829.0,54660,15887.0,40.5,57241.0,31274.0,1331.0,8.37791905331403
4605,ME,Ellsworth,,Hancock County,218025.0,4605,14137.0,47.0,57856.0,33819.0,1397.0,9.881870269505553
41031,KY,Cynthiana,,Harrison County,136440.0,41031,16189.0,42.6,49882.0,24313.0,2881.0,17.796034344307863
24382,VA,Wytheville,,Wythe County,154411.0,24382,13780.0,47.5,48202.0,28525.0,2276.0,16.5166908563135
81147,CO,Pagosa Springs,,Archuleta County,351428.0,81147,12587.0,50.8,52111.0,31437.0,1116.0,8.866290617303568
30513,GA,Blue Ridge,,Fannin County,271828.0,30513,12108.0,50.6,51111.0,28452.0,1368.0,11.298315163528244
38343,TN,Humboldt,,Gibson County,97576.0,38343,15413.0,42.5,37419.0,23744.0,2884.0,18.711477324336602
38063,TN,Ripley,,Lauderdale County,85050.0,38063,16277.0,38.3,40087.0,20771.0,3432.0,21.08496651717147
43506,OH,Bryan,,Williams County,132230.0,43506,14088.0,43.6,51680.0,28994.0,1400.0,9.937535491198183
24354,VA,Marion,,Smyth County,100062.0,24354,13934.0,46.4,38389.0,22114.0,2620.0,18.802928089565093
29571,SC,Marion,,Marion County,91331.0,29571,14794.0,40.8,32166.0,21571.0,3212.0,21.711504664052995
32428,FL,Chipley,,Washington County,130953.0,32428,17564.0,41.2,38308.0,18251.0,3356.0,19.107264859940788
74361,OK,Pryor,,Mayes County,133906.0,74361,16838.0,37.2,54211.0,25645.0,2802.0,16.640931226986574
21550,MD,Mountain Lake Park,,Garrett County,179716.0,21550,14077.0,47.2,50737.0,30671.0,1586.0,11.266605100518575
38606,MS,Batesville,,Panola County,131657.0,38606,15594.0,35.1,45492.0,22099.0,2226.0,14.274721046556367
49660,MI,Manistee,,Manistee County,148967.0,49660,14202.0,48.2,50868.0,27006.0,1233.0,8.681875792141952
81321,CO,Cortez,,Montezuma County,227148.0,81321,14863.0,44.5,50658.0,25984.0,2371.0,15.95236493305524
42754,KY,Leitchfield,,Grayson County,122906.0,42754,16225.0,39.5,37349.0,21228.0,4196.0,25.861325115562405
705,UT,Aibonito,,Kane County,117518.0,705,22662.0,42.4,20214.0,11321.0,10010.0,44.170858706204214
45320,OH,Eaton,,Preble County,153855.0,45320,15163.0,43.2,58102.0,29529.0,1706.0,11.251071687660751
39367,MS,Waynesboro,,Wayne County,116530.0,39367,14746.0,40.5,36964.0,24605.0,3705.0,25.125457751254572
56345,MN,Little Falls,,Morrison County,188516.0,56345,14498.0,43.5,52621.0,30321.0,1681.0,11.594702717616222
23901,VA,Farmville,,Prince Edward County,184517.0,23901,18397.0,30.9,47234.0,21738.0,2608.0,14.176224384410501
42276,KY,Russellville,,Logan County,107030.0,42276,14344.0,40.8,49517.0,22717.0,2659.0,18.537367540435024
32091,FL,Starke,,Bradford County,133601.0,32091,15256.0,37.5,42036.0,22438.0,3553.0,23.289197692711067
78611,TX,Burnet,,Burnet County,247727.0,78611,12921.0,43.3,58199.0,31949.0,1529.0,11.833449423419239
39051,MS,Carthage,,Leake County,115092.0,39051,16453.0,37.4,36939.0,20070.0,4567.0,27.757855710204826
59047,MT,Livingston,,Park County,367259.0,59047,12728.0,45.2,53777.0,35621.0,1569.0,12.32715273412948
24426,VA,Covington,,Alleghany County,93431.0,24426,13451.0,44.7,46565.0,27861.0,2080.0,15.46353430971675
75633,TX,Carthage,,Panola County,147559.0,75633,13161.0,39.3,54789.0,28668.0,1387.0,10.538712863764152
72830,AR,Clarksville,,Johnson County,114871.0,72830,15704.0,35.5,38985.0,21896.0,3495.0,22.255476311767698
44654,OH,Millersburg,,Holmes County,241206.0,44654,20348.0,32.7,64189.0,23877.0,1418.0,6.9687438568901126
72543,AR,Heber Springs,,Cleburne County,160797.0,72543,12636.0,47.7,47578.0,26653.0,1449.0,11.467236467236466
99669,AK,Soldotna,,Kenai Peninsula Borough,271188.0,99669,17014.0,38.9,75388.0,36696.0,2106.0,12.378041612789467
37874,TN,Sweetwater,,Monroe County,138663.0,37874,14881.0,39.8,43279.0,21528.0,2650.0,17.807943014582353
75169,TX,Wills Point,,Van Zandt County,165234.0,75169,14142.0,44.1,47674.0,26224.0,2137.0,15.111016829302786
